Entry	Gene names	Transmembrane
Q03395	ROM1 TSPAN23	TRANSMEM 20 44 Helical. {ECO:0000255}.; TRANSMEM 65 84 Helical. {ECO:0000255}.; TRANSMEM 103 125 Helical. {ECO:0000255}.; TRANSMEM 264 286 Helical. {ECO:0000255}.
P04844	RPN2	TRANSMEM 541 561 Helical. {ECO:0000255}.; TRANSMEM 572 592 Helical. {ECO:0000255}.; TRANSMEM 597 617 Helical. {ECO:0000255}.
Q8N4K4	RPRML	TRANSMEM 67 87 Helical. {ECO:0000255}.
Q9NS64	RPRM	TRANSMEM 56 76 Helical. {ECO:0000255}.
Q9NSD7	RXFP3 RLN3R1 SALPR	TRANSMEM 82 102 Helical; Name=1. {ECO:0000255}.; TRANSMEM 120 140 Helical; Name=2. {ECO:0000255}.; TRANSMEM 157 177 Helical; Name=3. {ECO:0000255}.; TRANSMEM 216 236 Helical; Name=4. {ECO:0000255}.; TRANSMEM 271 291 Helical; Name=5. {ECO:0000255}.; TRANSMEM 330 350 Helical; Name=6. {ECO:0000255}.; TRANSMEM 357 377 Helical; Name=7. {ECO:0000255}.
Q8TDU9	RXFP4 GPR100 RLN3R2	TRANSMEM 44 64 Helical; Name=1. {ECO:0000255}.; TRANSMEM 79 99 Helical; Name=2. {ECO:0000255}.; TRANSMEM 117 137 Helical; Name=3. {ECO:0000255}.; TRANSMEM 155 175 Helical; Name=4. {ECO:0000255}.; TRANSMEM 210 230 Helical; Name=5. {ECO:0000255}.; TRANSMEM 250 270 Helical; Name=6. {ECO:0000255}.; TRANSMEM 282 302 Helical; Name=7. {ECO:0000255}.
Q01974	ROR2 NTRKR2	TRANSMEM 404 424 Helical. {ECO:0000255}.
Q9Y6U7	RNF215	TRANSMEM 23 43 Helical. {ECO:0000255}.; TRANSMEM 251 271 Helical. {ECO:0000255}.
A6NCQ9	RNF222	TRANSMEM 196 216 Helical. {ECO:0000255}.
Q6P5S7	RNASEK	TRANSMEM 52 72 Helical. {ECO:0000255}.; TRANSMEM 104 124 Helical. {ECO:0000255}.
Q04912	MST1R PTK8 RON	TRANSMEM 958 978 Helical. {ECO:0000255}.
O43861	ATP9B ATPIIB NEO1L HUSSY-20	TRANSMEM 147 168 Helical. {ECO:0000255}.; TRANSMEM 174 196 Helical. {ECO:0000255}.; TRANSMEM 381 401 Helical. {ECO:0000255}.; TRANSMEM 410 431 Helical. {ECO:0000255}.; TRANSMEM 931 951 Helical. {ECO:0000255}.; TRANSMEM 964 982 Helical. {ECO:0000255}.; TRANSMEM 1013 1031 Helical. {ECO:0000255}.; TRANSMEM 1039 1061 Helical. {ECO:0000255}.; TRANSMEM 1068 1088 Helical. {ECO:0000255}.; TRANSMEM 1106 1130 Helical. {ECO:0000255}.
Q9HD36	BCL2L10 BCLB	TRANSMEM 173 190 Helical. {ECO:0000255}.
Q9BXK5	BCL2L13 MIL1 CD003	TRANSMEM 460 480 Helical. {ECO:0000255}.
Q9NY97	B3GNT2 B3GALT7 B3GNT1	TRANSMEM 8 28 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
Q9C0J1	B3GNT4 UNQ1898/PRO4344	TRANSMEM 29 49 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
Q6ZMB0	B3GNT6	TRANSMEM 13 31 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
O96024	B3GALT4 GALT4	TRANSMEM 9 19 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
P16442	ABO	TRANSMEM 33 53 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
P46663	BDKRB1 BRADYB1	TRANSMEM 41 64 Helical; Name=1. {ECO:0000255}.; TRANSMEM 74 98 Helical; Name=2. {ECO:0000255}.; TRANSMEM 112 133 Helical; Name=3. {ECO:0000255}.; TRANSMEM 156 178 Helical; Name=4. {ECO:0000255}.; TRANSMEM 200 226 Helical; Name=5. {ECO:0000255}.; TRANSMEM 248 272 Helical; Name=6. {ECO:0000255}.; TRANSMEM 292 314 Helical; Name=7. {ECO:0000255}.
P62952	BLCAP BC10	TRANSMEM 19 39 Helical. {ECO:0000255}.; TRANSMEM 43 63 Helical. {ECO:0000255}.
Q5FYA8	ARSH	TRANSMEM 167 187 Helical. {ECO:0000255}.; TRANSMEM 189 209 Helical. {ECO:0000255}.
Q9H2C2	ARV1 HT035	TRANSMEM 144 164 Helical. {ECO:0000255}.; TRANSMEM 176 196 Helical. {ECO:0000255}.; TRANSMEM 233 253 Helical. {ECO:0000255}.
O60312	ATP10A ATP10C ATPVA ATPVC KIAA0566	TRANSMEM 87 106 Helical. {ECO:0000255}.; TRANSMEM 111 128 Helical. {ECO:0000255}.; TRANSMEM 310 332 Helical. {ECO:0000255}.; TRANSMEM 363 384 Helical. {ECO:0000255}.; TRANSMEM 1088 1108 Helical. {ECO:0000255}.; TRANSMEM 1120 1140 Helical. {ECO:0000255}.; TRANSMEM 1171 1192 Helical. {ECO:0000255}.; TRANSMEM 1200 1222 Helical. {ECO:0000255}.; TRANSMEM 1229 1249 Helical. {ECO:0000255}.; TRANSMEM 1268 1292 Helical. {ECO:0000255}.
Q9Y2G3	ATP11B ATPIF ATPIR KIAA0956	TRANSMEM 56 77 Helical. {ECO:0000255}.; TRANSMEM 83 104 Helical. {ECO:0000255}.; TRANSMEM 290 311 Helical. {ECO:0000255}.; TRANSMEM 342 359 Helical. {ECO:0000255}.; TRANSMEM 877 898 Helical. {ECO:0000255}.; TRANSMEM 911 930 Helical. {ECO:0000255}.; TRANSMEM 961 982 Helical. {ECO:0000255}.; TRANSMEM 998 1020 Helical. {ECO:0000255}.; TRANSMEM 1026 1047 Helical. {ECO:0000255}.; TRANSMEM 1066 1090 Helical. {ECO:0000255}.
Q8NB49	ATP11C ATPIG ATPIQ	TRANSMEM 67 85 Helical. {ECO:0000255}.; TRANSMEM 87 107 Helical. {ECO:0000255}.; TRANSMEM 291 311 Helical. {ECO:0000255}.; TRANSMEM 347 367 Helical. {ECO:0000255}.; TRANSMEM 880 900 Helical. {ECO:0000255}.; TRANSMEM 909 929 Helical. {ECO:0000255}.; TRANSMEM 956 976 Helical. {ECO:0000255}.; TRANSMEM 996 1016 Helical. {ECO:0000255}.; TRANSMEM 1027 1047 Helical. {ECO:0000255}.; TRANSMEM 1070 1090 Helical. {ECO:0000255}.
Q9H7F0	ATP13A3 AFURS1	TRANSMEM 29 49 Helical. {ECO:0000255}.; TRANSMEM 206 226 Helical. {ECO:0000255}.; TRANSMEM 233 253 Helical. {ECO:0000255}.; TRANSMEM 410 430 Helical. {ECO:0000255}.; TRANSMEM 449 469 Helical. {ECO:0000255}.; TRANSMEM 941 961 Helical. {ECO:0000255}.; TRANSMEM 963 983 Helical. {ECO:0000255}.; TRANSMEM 1000 1020 Helical. {ECO:0000255}.; TRANSMEM 1074 1094 Helical. {ECO:0000255}.; TRANSMEM 1106 1126 Helical. {ECO:0000255}.; TRANSMEM 1144 1164 Helical. {ECO:0000255}.
Q4VNC0	ATP13A5 UNQ488/PRO1004	TRANSMEM 33 53 Helical. {ECO:0000255}.; TRANSMEM 222 242 Helical. {ECO:0000255}.; TRANSMEM 401 421 Helical. {ECO:0000255}.; TRANSMEM 433 453 Helical. {ECO:0000255}.; TRANSMEM 903 923 Helical. {ECO:0000255}.; TRANSMEM 940 956 Helical. {ECO:0000255}.; TRANSMEM 973 993 Helical. {ECO:0000255}.; TRANSMEM 1042 1062 Helical. {ECO:0000255}.; TRANSMEM 1077 1097 Helical. {ECO:0000255}.; TRANSMEM 1115 1135 Helical. {ECO:0000255}.
P05496	ATP5MC1 ATP5G1	TRANSMEM 77 97 Helical. {ECO:0000255}.; TRANSMEM 112 132 Helical. {ECO:0000255}.
P03928	MT-ATP8 ATP8 ATPASE8 MTATP8	TRANSMEM 8 24 Helical. {ECO:0000255}.
P27037	ACVR2A ACVR2	TRANSMEM 136 161 Helical. {ECO:0000255}.
Q13705	ACVR2B	TRANSMEM 138 158 Helical. {ECO:0000255}.
Q6ICH7	ASPHD2	TRANSMEM 59 79 Helical. {ECO:0000255}.
O94823	ATP10B ATPVB KIAA0715	TRANSMEM 83 104 Helical. {ECO:0000255}.; TRANSMEM 111 132 Helical. {ECO:0000255}.; TRANSMEM 317 338 Helical. {ECO:0000255}.; TRANSMEM 369 390 Helical. {ECO:0000255}.; TRANSMEM 1112 1132 Helical. {ECO:0000255}.; TRANSMEM 1145 1164 Helical. {ECO:0000255}.; TRANSMEM 1195 1216 Helical. {ECO:0000255}.; TRANSMEM 1224 1246 Helical. {ECO:0000255}.; TRANSMEM 1253 1273 Helical. {ECO:0000255}.; TRANSMEM 1292 1316 Helical. {ECO:0000255}.
Q9P241	ATP10D ATPVD KIAA1487	TRANSMEM 98 118 Helical. {ECO:0000255}.; TRANSMEM 122 142 Helical. {ECO:0000255}.; TRANSMEM 322 342 Helical. {ECO:0000255}.; TRANSMEM 366 386 Helical. {ECO:0000255}.; TRANSMEM 1114 1134 Helical. {ECO:0000255}.; TRANSMEM 1146 1166 Helical. {ECO:0000255}.; TRANSMEM 1196 1216 Helical. {ECO:0000255}.; TRANSMEM 1225 1245 Helical. {ECO:0000255}.; TRANSMEM 1253 1273 Helical. {ECO:0000255}.; TRANSMEM 1293 1313 Helical. {ECO:0000255}.
P98196	ATP11A ATPIH ATPIS KIAA1021	TRANSMEM 62 82 Helical. {ECO:0000255}.; TRANSMEM 89 110 Helical. {ECO:0000255}.; TRANSMEM 297 318 Helical. {ECO:0000255}.; TRANSMEM 350 372 Helical. {ECO:0000255}.; TRANSMEM 882 902 Helical. {ECO:0000255}.; TRANSMEM 915 934 Helical. {ECO:0000255}.; TRANSMEM 965 986 Helical. {ECO:0000255}.; TRANSMEM 1001 1023 Helical. {ECO:0000255}.; TRANSMEM 1030 1050 Helical. {ECO:0000255}.; TRANSMEM 1069 1093 Helical. {ECO:0000255}.
P54707	ATP12A ATP1AL1	TRANSMEM 103 123 Helical. {ECO:0000255}.; TRANSMEM 147 167 Helical. {ECO:0000255}.; TRANSMEM 304 323 Helical. {ECO:0000255}.; TRANSMEM 336 353 Helical. {ECO:0000255}.; TRANSMEM 788 807 Helical. {ECO:0000255}.; TRANSMEM 818 838 Helical. {ECO:0000255}.; TRANSMEM 859 881 Helical. {ECO:0000255}.; TRANSMEM 934 953 Helical. {ECO:0000255}.; TRANSMEM 968 986 Helical. {ECO:0000255}.; TRANSMEM 1002 1022 Helical. {ECO:0000255}.
O14983	ATP2A1	TRANSMEM 49 69 Helical; Name=1. {ECO:0000250}.; TRANSMEM 90 110 Helical; Name=2. {ECO:0000250}.; TRANSMEM 254 273 Helical; Name=3. {ECO:0000250}.; TRANSMEM 296 313 Helical; Name=4. {ECO:0000250}.; TRANSMEM 758 777 Helical; Name=5. {ECO:0000250}.; TRANSMEM 788 808 Helical; Name=6. {ECO:0000250}.; TRANSMEM 829 851 Helical; Name=7. {ECO:0000250}.; TRANSMEM 898 917 Helical; Name=8. {ECO:0000250}.; TRANSMEM 931 949 Helical; Name=9. {ECO:0000250}.; TRANSMEM 965 985 Helical; Name=10. {ECO:0000250}.
Q16720	ATP2B3	TRANSMEM 98 118 Helical. {ECO:0000255}.; TRANSMEM 156 176 Helical. {ECO:0000255}.; TRANSMEM 365 384 Helical. {ECO:0000255}.; TRANSMEM 418 435 Helical. {ECO:0000255}.; TRANSMEM 850 869 Helical. {ECO:0000255}.; TRANSMEM 880 900 Helical. {ECO:0000255}.; TRANSMEM 921 943 Helical. {ECO:0000255}.; TRANSMEM 962 983 Helical. {ECO:0000255}.; TRANSMEM 1003 1024 Helical. {ECO:0000255}.; TRANSMEM 1035 1056 Helical. {ECO:0000255}.
P23634	ATP2B4 ATP2B2 MXRA1	TRANSMEM 93 113 Helical. {ECO:0000255}.; TRANSMEM 151 171 Helical. {ECO:0000255}.; TRANSMEM 357 376 Helical. {ECO:0000255}.; TRANSMEM 410 427 Helical. {ECO:0000255}.; TRANSMEM 841 860 Helical. {ECO:0000255}.; TRANSMEM 871 891 Helical. {ECO:0000255}.; TRANSMEM 912 934 Helical. {ECO:0000255}.; TRANSMEM 953 974 Helical. {ECO:0000255}.; TRANSMEM 994 1015 Helical. {ECO:0000255}.; TRANSMEM 1026 1047 Helical. {ECO:0000255}.
Q9NTI2	ATP8A2 ATPIB	TRANSMEM 45 66 Helical. {ECO:0000255}.; TRANSMEM 72 94 Helical. {ECO:0000255}.; TRANSMEM 277 298 Helical. {ECO:0000255}.; TRANSMEM 324 345 Helical. {ECO:0000255}.; TRANSMEM 838 858 Helical. {ECO:0000255}.; TRANSMEM 871 890 Helical. {ECO:0000255}.; TRANSMEM 921 942 Helical. {ECO:0000255}.; TRANSMEM 957 979 Helical. {ECO:0000255}.; TRANSMEM 986 1006 Helical. {ECO:0000255}.; TRANSMEM 1025 1049 Helical. {ECO:0000255}.
O43520	ATP8B1 ATPIC FIC1 PFIC	TRANSMEM 109 130 Helical. {ECO:0000255}.; TRANSMEM 137 156 Helical. {ECO:0000255}.; TRANSMEM 341 362 Helical. {ECO:0000255}.; TRANSMEM 390 411 Helical. {ECO:0000255}.; TRANSMEM 950 970 Helical. {ECO:0000255}.; TRANSMEM 983 1002 Helical. {ECO:0000255}.; TRANSMEM 1033 1054 Helical. {ECO:0000255}.; TRANSMEM 1069 1091 Helical. {ECO:0000255}.; TRANSMEM 1098 1118 Helical. {ECO:0000255}.; TRANSMEM 1139 1163 Helical. {ECO:0000255}.
P20648	ATP4A	TRANSMEM 99 119 Helical. {ECO:0000255}.; TRANSMEM 143 163 Helical. {ECO:0000255}.; TRANSMEM 300 319 Helical. {ECO:0000255}.; TRANSMEM 332 349 Helical. {ECO:0000255}.; TRANSMEM 784 803 Helical. {ECO:0000255}.; TRANSMEM 814 834 Helical. {ECO:0000255}.; TRANSMEM 855 877 Helical. {ECO:0000255}.; TRANSMEM 930 949 Helical. {ECO:0000255}.; TRANSMEM 964 982 Helical. {ECO:0000255}.; TRANSMEM 998 1018 Helical. {ECO:0000255}.
P00846	MT-ATP6 ATP6 ATPASE6 MTATP6	TRANSMEM 6 26 Helical. {ECO:0000255}.; TRANSMEM 68 88 Helical. {ECO:0000255}.; TRANSMEM 97 117 Helical. {ECO:0000255}.; TRANSMEM 138 158 Helical. {ECO:0000255}.; TRANSMEM 164 184 Helical. {ECO:0000255}.; TRANSMEM 189 209 Helical. {ECO:0000255}.
Q16611	BAK1 BAK BCL2L7 CDN1	TRANSMEM 188 205 Helical. {ECO:0000255}.
P35613	BSG UNQ6505/PRO21383	TRANSMEM 324 344 Helical. {ECO:0000255}.
P30411	BDKRB2 BKR2	TRANSMEM 61 84 Helical; Name=1. {ECO:0000255}.; TRANSMEM 94 118 Helical; Name=2. {ECO:0000255}.; TRANSMEM 132 153 Helical; Name=3. {ECO:0000255}.; TRANSMEM 176 198 Helical; Name=4. {ECO:0000255}.; TRANSMEM 222 248 Helical; Name=5. {ECO:0000255}.; TRANSMEM 268 292 Helical; Name=6. {ECO:0000255}.; TRANSMEM 312 335 Helical; Name=7. {ECO:0000255}.
Q13873	BMPR2 PPH1	TRANSMEM 151 171 Helical. {ECO:0000255}.
P56134	ATP5J2 ATP5JL	TRANSMEM 63 82 Helical. {ECO:0000255}.
Q5VV63	ATRNL1 KIAA0534	TRANSMEM 1231 1251 Helical. {ECO:0000255}.
O75882	ATRN KIAA0548 MGCA	TRANSMEM 1280 1300 Helical. {ECO:0000255}.
Q8NBF6	AVL9 KIAA0241	TRANSMEM 214 230 Helical. {ECO:0000255}.
Q96Q91	SLC4A9 AE4 SBC5	TRANSMEM 415 435 Helical. {ECO:0000255}.; TRANSMEM 443 463 Helical. {ECO:0000255}.; TRANSMEM 465 485 Helical. {ECO:0000255}.; TRANSMEM 500 520 Helical. {ECO:0000255}.; TRANSMEM 530 550 Helical. {ECO:0000255}.; TRANSMEM 624 644 Helical. {ECO:0000255}.; TRANSMEM 665 685 Helical. {ECO:0000255}.; TRANSMEM 712 732 Helical. {ECO:0000255}.; TRANSMEM 758 778 Helical. {ECO:0000255}.; TRANSMEM 815 835 Helical. {ECO:0000255}.; TRANSMEM 837 857 Helical. {ECO:0000255}.; TRANSMEM 899 919 Helical. {ECO:0000255}.
Q9NPZ5	B3GAT2 GLCATS KIAA1963	TRANSMEM 3 23 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
Q9BYG0	B3GNT5	TRANSMEM 15 35 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
O43505	B4GAT1 B3GNT1 B3GNT6	TRANSMEM 9 36 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
Q00973	B4GALNT1 GALGT SIAT2	TRANSMEM 8 25 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
Q6L9W6	B4GALNT3	TRANSMEM 25 45 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
P15291	B4GALT1 GGTB2	TRANSMEM 25 44 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
P56817	BACE1 BACE KIAA1149	TRANSMEM 458 478 Helical. {ECO:0000255}.
Q9Y5Z0	BACE2 AEPLC ALP56 ASP21 CDA13 UNQ418/PRO852	TRANSMEM 474 494 Helical. {ECO:0000255}.
Q12797	ASPH BAH	TRANSMEM 54 74 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
O14525	ASTN1 ASTN KIAA0289	TRANSMEM 154 174 Helical. {ECO:0000255}.; TRANSMEM 384 402 Helical. {ECO:0000255}.
O75129	ASTN2 KIAA0634	TRANSMEM 207 227 Helical. {ECO:0000255}.; TRANSMEM 435 455 Helical. {ECO:0000255}.
Q4VNC1	ATP13A4 UNQ3052/PRO9871	TRANSMEM 32 52 Helical. {ECO:0000255}.; TRANSMEM 198 218 Helical. {ECO:0000255}.; TRANSMEM 224 244 Helical. {ECO:0000255}.; TRANSMEM 401 421 Helical. {ECO:0000255}.; TRANSMEM 437 457 Helical. {ECO:0000255}.; TRANSMEM 901 921 Helical. {ECO:0000255}.; TRANSMEM 933 953 Helical. {ECO:0000255}.; TRANSMEM 973 993 Helical. {ECO:0000255}.; TRANSMEM 1036 1056 Helical. {ECO:0000255}.; TRANSMEM 1071 1091 Helical. {ECO:0000255}.; TRANSMEM 1110 1130 Helical. {ECO:0000255}.
P05023	ATP1A1	TRANSMEM 88 108 Helical. {ECO:0000255}.; TRANSMEM 132 152 Helical. {ECO:0000255}.; TRANSMEM 289 308 Helical. {ECO:0000255}.; TRANSMEM 321 338 Helical. {ECO:0000255}.; TRANSMEM 773 792 Helical. {ECO:0000255}.; TRANSMEM 803 823 Helical. {ECO:0000255}.; TRANSMEM 844 866 Helical. {ECO:0000255}.; TRANSMEM 919 938 Helical. {ECO:0000255}.; TRANSMEM 952 970 Helical. {ECO:0000255}.; TRANSMEM 986 1006 Helical. {ECO:0000255}.
P13637	ATP1A3	TRANSMEM 78 98 Helical. {ECO:0000255}.; TRANSMEM 122 142 Helical. {ECO:0000255}.; TRANSMEM 279 298 Helical. {ECO:0000255}.; TRANSMEM 311 328 Helical. {ECO:0000255}.; TRANSMEM 763 782 Helical. {ECO:0000255}.; TRANSMEM 793 813 Helical. {ECO:0000255}.; TRANSMEM 834 856 Helical. {ECO:0000255}.; TRANSMEM 909 928 Helical. {ECO:0000255}.; TRANSMEM 942 960 Helical. {ECO:0000255}.; TRANSMEM 976 996 Helical. {ECO:0000255}.
Q13733	ATP1A4 ATP1AL2	TRANSMEM 96 116 Helical. {ECO:0000255}.; TRANSMEM 140 160 Helical. {ECO:0000255}.; TRANSMEM 297 316 Helical. {ECO:0000255}.; TRANSMEM 329 346 Helical. {ECO:0000255}.; TRANSMEM 779 798 Helical. {ECO:0000255}.; TRANSMEM 809 829 Helical. {ECO:0000255}.; TRANSMEM 850 872 Helical. {ECO:0000255}.; TRANSMEM 925 944 Helical. {ECO:0000255}.; TRANSMEM 958 976 Helical. {ECO:0000255}.; TRANSMEM 992 1012 Helical. {ECO:0000255}.
P05026	ATP1B1 ATP1B	TRANSMEM 35 62 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
P14415	ATP1B2	TRANSMEM 40 67 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
P54709	ATP1B3	TRANSMEM 36 56 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
Q9UN42	ATP1B4	TRANSMEM 111 131 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
